"","Chrom","JN626286.1","LN864819.1","NZ_KX523901.1"
"393","Pseudomonas_fluorescens_SBW25_","216","216","81"
"394","Rhizobium_leguminosarum_bv._viciae_3841_","121","121","73"
"395","Bifidobacterium_longum_","0","0","0"
"396","Bifidobacterium_psychraerophilum_","0","0","0"
"397","Bacillus_vietnamensis_","0","0","0"
"398","Pectobacterium_atrosepticum_SCRI1043_","183","152","77"
"399","Salmonella_bongori_NCTC_12419_","93","92","75"
"400","Streptococcus_uberis_0140J_","50","50","50"
"401","Chlamydophila_abortus_S26-3_","0","0","0"
"402","Micromonospora_sp._ATCC_39149_","0","0","0"
"403","Salmonella_enterica_subsp._enterica_serovar_Typhi_str._CT18_","Salmonella_enterica_subsp._enterica_serovar_Typhi_str._CT18_","Salmonella_enterica_subsp._enterica_serovar_Typhi_str._CT18_","Salmonella_enterica_subsp._enterica_serovar_Typhi_str._CT18_"
"404","Pseudomonas_protegens_Pf-5_","271","271","76"
"405","Lactobacillus_plantarum_WCFS1_","135","146","104"
"406","Treponema_putidum_","0","0","0"
"407","Oceanobacillus_iheyensis_HTE831_","Oceanobacillus_iheyensis_HTE831_","Oceanobacillus_iheyensis_HTE831_","Oceanobacillus_iheyensis_HTE831_"
"408","Mastigocladopsis_repens_PCC_10914_","0","0","0"
"409","Synechococcus_sp._RS9916_","0","0","0"
"410","Synechococcus_sp._RS9917_","0","0","0"
"411","Mannheimia_succiniciproducens_MBEL55E_","78","104","53"
"412","Frankia_sp._BMG5.12_","0","0","0"
"413","Neorickettsia_sennetsu_str._Miyayama_","38","38","44"
"414","Kocuria_marina_","0","0","0"
"415","Pseudomonas_syringae_pv._tomato_str._DC3000_","364","351","72"
"416","Vibrio_parahaemolyticus_RIMD_2210633_","Vibrio_parahaemolyticus_RIMD_2210633_","Vibrio_parahaemolyticus_RIMD_2210633_","Vibrio_parahaemolyticus_RIMD_2210633_"
"417","Bacillus_subtilis_subsp._subtilis_str._168_","172","172","0"
"418","Aquifex_aeolicus_VF5_","63","88","43"
"419","Bradyrhizobium_diazoefficiens_USDA_110_","Bradyrhizobium_diazoefficiens_USDA_110_","Bradyrhizobium_diazoefficiens_USDA_110_","Bradyrhizobium_diazoefficiens_USDA_110_"
"420","Brucella_melitensis_bv._1_str._16M_","83","83","63"
"421","Buchnera_aphidicola_str._Bp_","34","34","34"
"422","Shewanella_piezotolerans_WP3_","29","29","0"
"423","Marinobacter_adhaerens_HP15_","92","106","61"
"424","Enterococcus_faecalis_V583_","26","26","0"
"425","Bacteroides_thetaiotaomicron_VPI-5482_","34","34","34"
"426","Coxiella_burnetii_RSA_493_","82","82","63"
"427","Streptomyces_avermitilis_MA-4680_=_NBRC_14893_","34","59","0"
"428","Chlamydophila_caviae_GPIC_","54","54","42"
"429","Actinobacillus_pleuropneumoniae_serovar_1_str._4074_","80","80","0"
"430","Hyphomonas_neptunium_ATCC_15444_","77","117","57"
"431","Nitrosomonas_europaea_ATCC_19718_","55","100","55"
"432","Beijerinckia_mobilis_","0","0","0"
"433","Halomonas_alkaliantarctica_","0","0","0"
"434","Synechococcus_sp._CB0101_","0","0","0"
"435","Acidovorax_sp._JS42_","32","61","0"
"436","Haemophilus_ducreyi_35000HP_","27","49","27"
"437","Candidatus_Solibacter_usitatus_Ellin6076_","0","0","0"
"438","Rhodococcus_erythropolis_PR4_","80","85","80"
"439","Anaplasma_marginale_str._St._Maries_","49","49","32"
"440","Pseudoalteromonas_sp._SM9913_","27","27","26"
"441","Helicobacter_hepaticus_ATCC_51449_","106","106","44"
"442","Geobacillus_kaustophilus_HTA426_","42","42","0"
"443","Streptacidiphilus_jiangxiensis_","0","0","0"
"444","Alcanivorax_sp._DG881_","18","18","0"
"445","Chryseobacterium_formosense_","0","0","0"
"446","Candidatus_Scalindua_brodae_","32","34","14"
"447","Pseudomonas_alkylphenolia_","63","103","0"
"448","Erythrobacter_sp._NAP1_","0","0","0"
