"","Plasmid","Chrom","Genes","Interacting_genes","Interactions","Total_Genes","Total_Interactions","Jaccard"
"247","NZ_KX523901.1","Solemya_velum_gill_symbiont_","12","0","0","2721","39569",NA
"248","MT441554.1","Solemya_velum_gill_symbiont_","18","0","0","2721","39569",NA
"249","JN626286.1","Candidatus_Sodalis_pierantonius_str._SOPE_","37","51","49","2338","24629",NA
"250","LN864819.1","Candidatus_Sodalis_pierantonius_str._SOPE_","57","53","51","2338","24629",NA
"251","NZ_KX523901.1","Candidatus_Sodalis_pierantonius_str._SOPE_","12","46","45","2338","24629",NA
"252","MT441554.1","Candidatus_Sodalis_pierantonius_str._SOPE_","18","68","71","2338","24629",NA
"253","JN626286.1","Fervidobacterium_islandicum_","37","0","0","1961","28648",NA
"254","LN864819.1","Fervidobacterium_islandicum_","57","0","0","1961","28648",NA
"255","NZ_KX523901.1","Fervidobacterium_islandicum_","12","0","0","1961","28648",NA
"256","MT441554.1","Fervidobacterium_islandicum_","18","0","0","1961","28648",NA
"257","JN626286.1","Synergistes_jonesii_","37","0","0","2516","36997",NA
"258","LN864819.1","Synergistes_jonesii_","57","0","0","2516","36997",NA
"259","NZ_KX523901.1","Synergistes_jonesii_","12","0","0","2516","36997",NA
"260","MT441554.1","Synergistes_jonesii_","18","0","0","2516","36997",NA
"261","JN626286.1","Dactylococcopsis_salina_PCC_8305_","37","17","16","3349","42733",NA
"262","LN864819.1","Dactylococcopsis_salina_PCC_8305_","57","17","16","3349","42733",NA
"263","NZ_KX523901.1","Dactylococcopsis_salina_PCC_8305_","12","0","0","3349","42733",NA
"264","MT441554.1","Dactylococcopsis_salina_PCC_8305_","18","0","0","3349","42733",NA
"265","JN626286.1","Sphingomonas_paucimobilis_","37","118","129","4705","85120",NA
"266","LN864819.1","Sphingomonas_paucimobilis_","57","136","146","4705","85120",NA
"267","NZ_KX523901.1","Sphingomonas_paucimobilis_","12","0","0","4705","85120",NA
"268","MT441554.1","Sphingomonas_paucimobilis_","18","68","67","4705","85120",NA
"269","JN626286.1","Sphingobium_yanoikuyae_","37","109","140","5331","57811",NA
"270","LN864819.1","Sphingobium_yanoikuyae_","57","120","149","5331","57811",NA
"271","NZ_KX523901.1","Sphingobium_yanoikuyae_","12","32","31","5331","57811",NA
"272","MT441554.1","Sphingobium_yanoikuyae_","18","42","41","5331","57811",NA
"273","JN626286.1","Saccharopolyspora_rectivirgula_","37","0","0","3222","61877",NA
"274","LN864819.1","Saccharopolyspora_rectivirgula_","57","0","0","3222","61877",NA
"275","NZ_KX523901.1","Saccharopolyspora_rectivirgula_","12","0","0","3222","61877",NA
"276","MT441554.1","Saccharopolyspora_rectivirgula_","18","13","12","3222","61877",NA
"277","JN626286.1","Nostoc_sp._PCC_7524_","37","25","24","5365","63520",NA
"278","LN864819.1","Nostoc_sp._PCC_7524_","57","25","24","5365","63520",NA
"279","NZ_KX523901.1","Nostoc_sp._PCC_7524_","12","0","0","5365","63520",NA
"280","MT441554.1","Nostoc_sp._PCC_7524_","18","0","0","5365","63520",NA
"281","JN626286.1","Porphyromonas_macacae_","37","0","0","1778","24160",NA
"282","LN864819.1","Porphyromonas_macacae_","57","0","0","1778","24160",NA
"283","NZ_KX523901.1","Porphyromonas_macacae_","12","0","0","1778","24160",NA
"284","MT441554.1","Porphyromonas_macacae_","18","0","0","1778","24160",NA
"285","JN626286.1","Yersinia_kristensenii_","37","148","164","3918","56872",NA
"286","LN864819.1","Yersinia_kristensenii_","57","148","164","3918","56872",NA
"287","NZ_KX523901.1","Yersinia_kristensenii_","12","78","77","3918","56872",NA
"288","MT441554.1","Yersinia_kristensenii_","18","134","134","3918","56872",NA
"289","JN626286.1","Candidatus_Photodesmus_katoptron_","37","46","44","866","19002",NA
"290","LN864819.1","Candidatus_Photodesmus_katoptron_","57","46","44","866","19002",NA
