"","x"
"1205","higa_3"
"1206","higa_4"
"1207","higa1_2"
"1208","higa1_3"
"1209","higb"
"1210","higb-2"
"1211","hild"
"1212","hin_1; hin_2"
"1213","hipa_1"
"1214","hipa_2"
"1215","hisb"
"1216","hisc"
"1217","hisd"
"1218","hisf"
"1219","hisg"
"1220","hish"
"1221","hisi"
"1222","hisie"
"1223","hisn"
"1224","hisp"
"1225","hisq"
"1226","hiss"
"1227","hlya"
"1228","hlyc"
"1229","hlyd"
"1230","hlye"
"1231","hlyf"
"1232","hmga"
"1233","hmpa"
"1234","hmsf"
"1235","hmsh"
"1236","hmsr"
"1237","hmus"
"1238","hok"
"1239","hoka"
"1240","hokb"
"1241","hokb_1"
"1242","hokb_2"
"1243","hokd"
"1244","hola"
"1245","hole_1"
"1246","hole_3"
"1247","hopaj1"
"1248","hopd1"
"1249","hopg1"
"1250","hpac"
"1251","hpad"
"1252","hpae"
"1253","hpah"
"1254","hpai"
"1255","hpar"
"1256","hpba"
"1257","hpbd"
"1258","hpnc"
"1259","hpnd"
"1260","hpne"
"1261","hpnh"
"1262","hpni"
"1263","hpnj"
"1264","hpnk"
"1265","hppd"
"1266","hprk"
"1267","hpxz"
"1268","hrcc"
"1269","hrcj"
"1270","hrcn"
"1271","hrcr"
"1272","hrcs"
"1273","hrct"
"1274","hrcu"
"1275","hrpb"
"1276","hrpb2"
"1277","hrpd5"
"1278","hrpg_1"
"1279","hrpg_2"
"1280","hrpg_3"
"1281","hsca"
"1282","hslo"
"1283","hslu"
"1284","hslv"
"1285","hsp20"
"1286","hsp20-gi"
"1287","hspa"
"1288","hspq"
"1289","htdt"
"1290","htpg"
"1291","htpx_2"
"1292","hup"
"1293","hutc"
"1294","hutg"
"1295","huth"
"1296","huth-1"
"1297","huti"
"1298","hutu"
"1299","hutw"
"1300","hutx"
"1301","hutz"
"1302","hxla"
"1303","hxlb"
"1304","hxsa"
"1305","hxsb"
"1306","hxsc"
"1307","hxsd"
"1308","hybe"
"1309","hyci"
"1310","hyda"
"1311","hyfb"
"1312","hyfe"
"1313","hyi"
"1314","hypa"
"1315","hypb"
"1316","hypc"
"1317","hypd"
"1318","hype"
"1319","hypf"
"1320","iaah"
"1321","icab"
"1322","icab_2"
"1323","icab_3"
"1324","icad"
"1325","icc"
"1326","icd"
"1327","icmh"
"1328","icmp"
"1329","icmq"
"1330","icmt"
"1331","icmv"
"1332","icmw"
"1333","icmx"
"1334","icsa"
"1335","icsb"
"1336","icsp"
"1337","idi"
"1338","idnd"
"1339","idno"
"1340","iha"
"1341","iia"
"1342","iib"
"1343","iles"
"1344","ilva"
"1345","ilvb"
"1346","ilvc"
"1347","ilvd"
"1348","ilve"
"1349","ilvg"
"1350","ilvl"
"1351","ilvm"
"1352","ilvn"
"1353","ilvx"
"1354","ilvy"
"1355","imm"
"1356","imua"
"1357","incc"
"1358","infa"
"1359","infb"
"1360","infc"
"1361","insa"
"1362","insb"
"1363","insd_12"
"1364","insd_13"
"1365","insd_14"
"1366","insd_15"
"1367","insd_16"
"1368","insd_17"
"1369","insd_18"
"1370","insd_19"
"1371","insd_20"
"1372","insd_21"
"1373","insd_22"
"1374","insd_23"
"1375","insd_24"
"1376","insd_25"
"1377","insd1"
"1378","insi"
"1379","inti1"
"1380","inti2"
"1381","iolb"
"1382","iolc"
"1383","iold"
"1384","iole"
"1385","iolg"
"1386","ipaa"
"1387","ipab"
"1388","ipac"
"1389","ipad"
"1390","ipah1.4"
"1391","ipah2.5"
"1392","ipah4.5"
"1393","ipah7.8"
"1394","ipah9.8"
"1395","ipaj"
"1396","ipga"
"1397","ipgb1"
"1398","ipgb2"
"1399","ipgc"
"1400","ipge"
"1401","ipgf"
"1402","iram"
"1403","irlr"
"1404","irob"
"1405","iroc"
"1406","irod"
"1407","iroe"
"1408","iron"
"1409","irp1"
"1410","irp2"
"1411","is1414"
"1412","is186b"
"1413","is4321r"
"1414","is91"
"1415","isca"
"1416","iscb"
"1417","iscs_2"
"1418","iscu"
"1419","ispd"
"1420","ispe"
"1421","ispf"
"1422","ispg"
"1423","isph"
"1424","isps1"
"1425","isps2"
"1426","iss"
"1427","ista"
"1428","ista_1"
"1429","ista_2"
"1430","istb"
"1431","isvsa5"
"1432","iuca"
"1433","iucb"
"1434","iucc"
"1435","iucd"
"1436","iuta"
"1437","ivy"
"1438","jema"
"1439","jemb"
"1440","jemc"
"1441","katb"
"1442","kate"
"1443","katg"
"1444","katp"
"1445","kbl"
"1446","kdgd"
"1447","kdgk"
"1448","kdgr"
"1449","kdgt"
"1450","kdpa"
"1451","kdpb"
"1452","kdpc"
"1453","kdpe"
"1454","kdpf"
"1455","kdsa"
"1456","kdsb"
"1457","kdud"
"1458","kdui"
"1459","kefb-gi"
"1460","kfra"
"1461","kgtp"
"1462","kila"
"1463","klab"
"1464","klac"
"1465","klca"
"1466","klca_2"
"1467","klcb"
"1468","klea"
"1469","kleb"
"1470","klee"
"1471","kop"
"1472","kora"
"1473","korb"
"1474","korc"
"1475","kup"
"1476","kup_2"
"1477","kyna"
"1478","kynu"
"1479","laca"
"1480","lacb"
"1481","lacc"
"1482","lacd"
"1483","lacg"
"1484","laci"
"1485","lacy"
"1486","lacz"
"1487","lafu"
"1488","lagd"
"1489","lamb"
"1490","lankc"
"1491","lanm"
"1492","lapb"
"1493","lara"
"1494","larb"
"1495","larc"
"1496","lare"
"1497","lcib"
"1498","lcrd"
"1499","lcrg"
"1500","lcrh"
"1501","lcro"
"1502","lcrq"
"1503","lcrr"
"1504","lcrv"
"1505","ldca"
"1506","ldrp"
"1507","ldtb"
"1508","lepa"
"1509","lepb"
"1510","letb"
"1511","leua"
"1512","leua_2"
"1513","leub"
"1514","leuc"
"1515","leud"
"1516","leue"
"1517","leus"
"1518","lexa"
"1519","lexa_5"
"1520","lexa_6"
"1521","lgt"
"1522","lhgo"
"1523","lif"
"1524","liga"
"1525","ligd"
"1526","ligk"
"1527","lipa"
"1528","livf_7"
"1529","livg"
"1530","livh"
"1531","livh_7"
"1532","livm"
"1533","lldd"
"1534","lldp"
"1535","lldr"
"1536","lnga"
"1537","lngb"
"1538","lngc"
"1539","lngd"
"1540","lnge"
"1541","lngf"
"1542","lngg"
"1543","lngh"
"1544","lngi"
"1545","lngj"
"1546","lngp"
"1547","lngr"
"1548","lngs"
"1549","lngt"
"1550","lngx1"
"1551","lngx2"
"1552","lnt"
"1553","lnub"
"1554","lnuf"
"1555","lnug"
"1556","lnuh"
"1557","lola"
"1558","lolb"
"1559","lold"
"1560","lon"
"1561","lov"
"1562","lpa"
"1563","lpca"
"1564","lpda"
"1565","lpta"
"1566","lptb"
"1567","lptb_4"
"1568","lptc"
"1569","lpte"
"1570","lptf"
"1571","lptg"
"1572","lpxa"
"1573","lpxb"
"1574","lpxc"
"1575","lpxd"
"1576","lpxk"
"1577","lpxm"
"1578","lpxp"
"1579","lqo"
"1580","lrgb"
"1581","lsae"
"1582","lsoa"
"1583","lsob"
"1584","lspa"
"1585","lspd"
"1586","lspg"
"1587","lspj"
"1588","lss"
"1589","ltae"
"1590","ltra"
"1591","ltra_1"
"1592","ltra_10"
"1593","ltra_2"
"1594","ltra_3"
"1595","ltra_4"
"1596","ltra_5"
"1597","ltra_6"
"1598","ltra_7"
"1599","ltra_8"
"1600","ltra_9"
"1601","lxc"
"1602","lyda"
"1603","lydb"
"1604","lys"
"1605","lysa"
"1606","lysa_2"
"1607","lysb"
"1608","lysc"
"1609","lyss"
"1610","maa"
"1611","macb"
"1612","madl"
"1613","madm"
"1614","maia"
"1615","male"
"1616","malf"
"1617","malg"
"1618","malk"
"1619","malm"
"1620","malp"
"1621","malq"
"1622","malt"
"1623","mana"
"1624","maop"
"1625","map"
"1626","mat"
"1627","mazf"
"1628","mazg"
"1629","mbed"
"1630","mbth"
"1631","mcbe"
"1632","mce"
"1633","mch"
"1634","mcja"
"1635","mco"
"1636","mcr-9"
